NCTId,Title,Status,Sponsor,Conditions
NCT04016662,Automated Insulin Delivery in Elderly With Type 1 Diabetes (AIDE T1D),COMPLETED,Jaeb Center for Health Research,Type 1 Diabetes Mellitus
NCT05936203,Management of Prolonged Aerobic exeRcise in Patients With Type 1 Diabetes on Advanced Technologies,COMPLETED,Federico II University,Type1diabetes
NCT04088461,Effect of Linagliptin + Metformin on Patients Who do Not Achieve Normoglucemia With Metformine,COMPLETED,Universidad de Guanajuato,"Prediabetic State, Impaired Glucose Tolerance, Insulin Resistance"
NCT05228561,The Effect of Mobile Application Supported Diabetes Education On Type 2 Diabetes Self-Management And Blood Sugar Level,UNKNOWN,Ege University,"Diabetes Mellitus, Type 2, Education, Mobile Applications, Self-Management"
NCT05404061,The Poor Responders Study,RECRUITING,Imperial College London,"Bariatric Surgery Candidate, Obesity, Morbid, Diabetes Mellitus, Type 2"
NCT04039503,A Study of Tirzepatide (LY3298176) Versus Placebo in Participants With Type 2 Diabetes Inadequately Controlled on Insulin Glargine With or Without Metformin,COMPLETED,Eli Lilly and Company,Type 2 Diabetes
NCT03523403,Obesity-related Health Benefits of Apples,COMPLETED,University of Guelph,"Obesity, Abdominal, Hyperlipidemias, Inflammation, Dysbiosis"
NCT03313661,Co-administration of Cabergoline and Gliclazide Improve Glycemic Parameters and Lipid Profile in T2DM Patients,UNKNOWN,Sherief Abd-Elsalam,Diabetes
NCT00217061,Effect of a Decision Aid About Statin Use in Patients With Type 2 Diabetes Mellitus,COMPLETED,Mayo Clinic,"Diabetes Mellitus, Dyslipidemia, Hypercholesterolemia, Cardiovascular Disease"
NCT07142161,"A Study on the Safety, Preliminary Efficacy, and Cellular Kinetics of Allo-CD7 CAR-T Cells in T1DM",ACTIVE_NOT_RECRUITING,"Nanjing Bioheng Biotech Co., Ltd.",Type 1 Diabetes
NCT01215903,Fish Gelatin Supplement and Omega-3 Supplement in Obese or Overweight Subjects With Insulin Resistance,COMPLETED,Laval University,"Insulin Resistance, Type 2 Diabetes"
NCT01752127,COmparison of Xience PrimE Versus REsolute Integrity in Diabetes or Small Vessel Disease,UNKNOWN,Chonbuk National University Hospital,"Angioplasty, Balloon, Coronary"
NCT04800861,Glycemic Control in Diabetic Hospitalized Patients,COMPLETED,AlFayhaa General Hospital,"Diabetes, Diabetes Mellitus"
NCT04953442,Fit 24 Technology Intervention YOUTH,COMPLETED,Baylor College of Medicine,"Diabetes Mellitus, Type 2"
NCT00192803,Non-Insulin Dependent Diabetes Mellitus (NIDDM) and Angiotensin Converting Enzyme 2 (ACE2): Diabetic Patients Treated With Antihypertensive Drugs,UNKNOWN,Rambam Health Care Campus,NIDDM
NCT06710340,Research on Effects of Acute Consumption of Nuts in Obese Diabetic Women,RECRUITING,Raquel Ballarin,"Type 2 Diabetes, Obesity"
NCT05614089,Human Versus Analogue Insulin for Youth With Type 1 Diabetes in Low-Resource Settings,COMPLETED,Jing Luo,"Diabetes Mellitus, Type 1, Type 1 Diabetes"
NCT04118374,A Study to Determine Iatrogenic Hyperinsulinemia's Contribution to Insulin Resistance and Endothelial Dysfunction in Type 1 Diabetes,COMPLETED,Vanderbilt University Medical Center,"Diabetes Mellitus, Type 1"
NCT03316690,The Interaction Between Metformin and Physical Training,COMPLETED,Kristian Karstoft,"Impaired Glucose Tolerance, Diabetes Mellitus, Type 2"
NCT05971524,"Effect of Oral 6-bromotryptophan on Safety, Pharmacokinetics and Efficacy in Metabolic Syndrome Individuals",UNKNOWN,Nordin Hanssen,"Metabolic Syndrome, Diabetes Mellitus"
NCT00575159,A Study to Assess the Safety of Single Doses of GSK189075 in Subjects With Type 1 Diabetes Mellitus,COMPLETED,GlaxoSmithKline,"Diabetes Mellitus, Type 1"
NCT03202680,Lean Beef Consumption and Insulin Sensitivity in Men and Women With Risk Factors for Diabetes,COMPLETED,Midwest Center for Metabolic and Cardiovascular Research,"Metabolic Syndrome, PreDiabetes"
NCT00791479,Effects of LY2189265 on Glycemic Control in Participants With Type 2 Diabetes,COMPLETED,Eli Lilly and Company,"Diabetes Mellitus, Type 2"
NCT04025762,24/7 Closed-loop in Older Subjects With Type 1 Diabetes,COMPLETED,University of Cambridge,"Type 1 Diabetes Mellitus, Hypoglycemia, Arrythmia"
NCT00843388,A Crossover Study With Hexalacton in Patients With Type 1 Diabetes and Microalbuminuria,UNKNOWN,Steno Diabetes Center Copenhagen,"Diabetes Mellitus, Nephropathy, Blood Pressure"
NCT02200627,Forxiga Tablets Specific Clinical Experience Investigation for Elderly,COMPLETED,AstraZeneca,Type 2 Diabetes Mellitus
NCT00842361,Comparison of NN5401 Versus Biphasic Insulin Aspart 30 on a Twice Daily Regimen in Subjects With Type 2 Diabetes Mellitus,COMPLETED,Novo Nordisk A/S,"Diabetes, Diabetes Mellitus, Type 2"
NCT03091686,The Health Action Process Approach and Movement Patterns in Adult Office Workers,COMPLETED,"Western University, Canada",Sedentary Lifestyle
NCT03763474,Euglyca Application in Children and Adolescents With Type 1 Diabetes Mellitus,COMPLETED,Aristotle University Of Thessaloniki,"Diabetes Mellitus, Type 1"
NCT05933174,Promoting Alternatives to Sulfonylureas to Improve Patient Safety in Type 2 Diabetes,RECRUITING,"Ian J. Neeland, MD",Type2diabetes
NCT00565318,Benfotiamine in Diabetic Nephropathy,COMPLETED,University Medical Center Groningen,Diabetic Nephropathy
NCT00681460,Metformin in Gestational Diabetes Mellitus,COMPLETED,K. Marcinkowski University of Medical Sciences,"Diabetes, Gestational, Insulin Resistance"
NCT03938324,Peer i-Coaching for Activated Self-Management Optimization in Adolescents and Young Adults With Chronic Conditions,COMPLETED,Duke University,"Sickle Cell Disease, Chronic Kidney Diseases, Systemic Lupus Erythematosus, Childhood Cancer, Inflammatory Bowel Diseases, Stem Cell Transplant, Organ Transplant, Diabetes Mellitus, Type 1, Cystic Fibrosis"
NCT00099723,The Effect of a Probiotic on Hepatic Steatosis,TERMINATED,VSL Pharmaceuticals,Fatty Liver
NCT01387659,Evaluate Tolerability of Myfortic®/Simulect® and Tacrolimus Without Steroids in Three Patient Populations,TERMINATED,"The University of Texas Medical Branch, Galveston","Diabetes, Immunosuppression"
NCT05887180,"PräVaNet - Structured, Intersectoral, Multiprofessional, Digitized Program to Optimize Cardiovascular Prevention",UNKNOWN,"Charite University, Berlin, Germany","Type 2 Diabetes, Arteriosclerosis, Arterial Hypertension, Lipid Metabolism Disorders"
NCT01455896,A Study to Evaluate Cardiovascular Outcomes in Patients With Type 2 Diabetes Treated With ITCA 650,COMPLETED,Intarcia Therapeutics,Type 2 Diabetes
NCT06688903,App-based Diabetes Management and Community-based Interventions,RECRUITING,Singapore General Hospital,Diabetes Mellitus Type 2
NCT06388603,RCT on Bioactive Glass S53P4 in Diabetic Foot Osteomyelitis in the Forefoot (DFORCT),RECRUITING,ASST Ovest Milanese,Osteomyelitis - Foot
NCT00591903,Pilot Study to Assess the Proteome in Human Atrial Tissue,COMPLETED,"National Heart, Lung, and Blood Institute (NHLBI)","Diabetes, Cardiomyopathy"
NCT00902161,A Single-Dose Crossover Study of MK0893 in Patients With Type 2 Diabetes (0893-019 AM4)(COMPLETED),COMPLETED,Merck Sharp & Dohme LLC,Type 2 Diabetes Mellitus
NCT04943861,Human Immunodeficiency Virus (HIV) Food Insecurities,RECRUITING,Wake Forest University Health Sciences,"Food Insecurities, Cardiometabolic Comorbidities, HIV, PreDiabetes, Type 2 Diabetes Mellitus (T2DM)"
NCT06358261,Study of a Diabetes Prevention Patient Activation Clinical Decision Support Tool,ENROLLING_BY_INVITATION,Johns Hopkins University,"PreDiabetes, Lifestyle, Healthy, Activation, Patient"
NCT06829589,Retrieval of Economic Incentives and Information on Quality-of-care Indicators in Primary Care,ACTIVE_NOT_RECRUITING,Fundacio d'Investigacio en Atencio Primaria Jordi Gol i Gurina,"Hypertension, Diabetes, Atrium; Fibrillation, Asthma"
NCT06888050,"Efficacy and Safety of Henagliflozin Proline and Metformin Hydrochloride Extended-release Tablets (Ⅰ) Versus Metformin Tablets in Patients With New-onset Type 2 Diabetes: a Multicenter, Randomized Controlled Study",RECRUITING,Zhejiang Provincial People's Hospital,New-onset Type 2 Diabetes
NCT01147250,Evaluation of Cardiovascular Outcomes in Patients With Type 2 Diabetes After Acute Coronary Syndrome During Treatment With AVE0010 (Lixisenatide),COMPLETED,Sanofi,Acute Coronary Syndrome
NCT07298174,Wide Field OCTA in Ocular Diseases,NOT_YET_RECRUITING,IRCCS San Raffaele,"Age - Related Macular Degeneration (AMD), Diabetic Macular Edema, Diabetic Retinopathy, Myopia, Inherited Retinal Disease, Stargardt Disease, Retinitis Pigmentosa (RP), Best Disease, Geographic Atrophy, Macular Neovascularisation, Ocular Surface Disease, Central Serous Choroidopathy, Pachychoroid Disease, Uveitis, Vitreoretinal Disease, Retinal Vein Occlusion"
NCT04786418,Low-Calorie Diet in People With Prediabetes/Metabolic Syndrome,COMPLETED,University of Liverpool,"Obesity, NAFLD, Fatty Liver, Pre Diabetes, Metabolic Syndrome"
NCT04470310,"Glimepiride, Alogliptin and Alogliptin+Pioglitazone Combination",UNKNOWN,Seoul National University Hospital,Type 2 Diabetes Mellitus
NCT04554810,Pharmacists Improving Refugees' Adherence and Knowledge of Their Chronic Medications,COMPLETED,Prof. Iman Basheti,"Diabetes, Hypertension, Dyslipidemias, Cardiac Disease, Asthma"
